,ChargeLoss
802.1,0.04
802.2,0.04
802.3,0.04
806.1,0.04
806.2,0.04
806.3,0.04
808.1,0.04
808.2,0.04
808.3,0.04
810.2,0.04
812.1,0.04
812.2,0.04
812.3,0.04
814.1,0.04
814.2,0.04
814.3,0.04
850.1,0.04
850.2,0.04
850.3,0.04
816.1,0.04
816.2,0.04
816.3,0.04
818.1,0.04
818.2,0.04
818.3,0.04
824.1,0.04
824.2,0.04
824.3,0.04
820.1,0.04
820.2,0.04
820.3,0.04
822.1,0.04
822.2,0.04
822.3,0.04
826.2,0.04
828.1,0.04
828.2,0.04
828.3,0.04
830.1,0.04
830.2,0.04
830.3,0.04
854.1,0.04
854.2,0.04
854.3,0.04
832.1,0.04
832.2,0.04
832.3,0.04
858.1,0.04
858.2,0.04
858.3,0.04
888.1,0.04
888.2,0.04
888.3,0.04
834.1,0.04
834.2,0.04
834.3,0.04
860.1,0.04
860.2,0.04
860.3,0.04
842.1,0.04
842.2,0.04
842.3,0.04
836.1,0.04
836.2,0.04
836.3,0.04
840.1,0.04
840.2,0.04
840.3,0.04
862.1,0.04
862.2,0.04
862.3,0.04
844.1,0.04
844.2,0.04
844.3,0.04
846.1,0.04
846.2,0.04
846.3,0.04
848.1,0.04
848.2,0.04
848.3,0.04
852.1,0.04
852.2,0.04
852.3,0.04
856.2,0.04
864.1,0.04
838.2,0.04
890.1,0.04
890.2,0.04
890.3,0.04
